account,country,confidence
anisoleai,unknown,low
codeparrot,US,low
allenai,US,high
Benjy,unknown,low
huggingface,US,high
nvidia,US,high
atokforps,unknown,low
KakologArchives,JP,high
IPEC-COMMUNITY,CN,high
hf-doc-build,US,high
open-llm-leaderboard-old,US,high
ksolovev,unknown,low
xlangai,HK,high
m-a-p,CN,high
Salesforce,US,high
hallucinations-leaderboard,unknown,low
banned-historical-archives,CN,low
HuggingFaceFW,US,high
ryanmarten,US,high
ayuo,unknown,low
BangumiBase,CN,low
openai,US,high
hf-internal-testing,US,high
mteb,US,low
mlfoundations,US,high
mvp-lab,unknown,low
wegrthj,unknown,low
k9cli,unknown,low
jat-project,US,high
espnet,US,low
cadene,FR,high
Voxel51,US,high
applied-ai-018,IN,low
lmms-lab,SG,high
angie-chen55,US,high
HennyPr,unknown,low
XDOF,US,low
genrobot2025,CN,low
princeton-nlp,US,high
RoboCOIN,unknown,low
Maximilians,unknown,low
Kthera,unknown,low
Chelsea707,unknown,low
ad1t7a,unknown,low
Emmyc2,unknown,low
open-llm-leaderboard,US,high
bigcode,US,low
cais,US,high
EssentialAI,US,high
WINGNUS,SG,high
artur-muratov,unknown,low
facebook,US,high
jobs-git,unknown,low
uoft-cs,CA,high
Maynor996,unknown,low
icdn12,unknown,low
FLARE-MedFM,CA,low
nyu-mll,US,high
icdn11,unknown,low
icdn13,unknown,low
icdn10,unknown,low
google,US,high
icdn14,unknown,low
icdn15,unknown,low
mueller91,unknown,low
Dagonulca,unknown,low
HuggingFaceM4,US,high
introvoyz041,unknown,low
updatebao,unknown,low
hasankursun,unknown,low
permutans,unknown,low
google-research-datasets,US,high
ieasybooks-org,unknown,low
HuggingFaceH4,US,high
icdn18,unknown,low
EleutherAI,US,high
jeyasuryaur,unknown,low
MedOtter,unknown,low
siril-spcc,unknown,low
atom-in-the-universe,unknown,low
world-igr-plum,unknown,low
DL3DV,US,low
onfdata,unknown,low
Drakesuper,unknown,low
agibot-world,CN,high
jacobbieker,GB,low
behavior-1k,US,high
asahi417,JP,low
jhu-clsp,US,high
anon8231489123,unknown,low
svjack,CN,low
kkail8,unknown,low
orionweller,US,high
mhaamh19,unknown,low
lerobot,US,high
huggingface-course,US,high
CohereLabs,CA,high
tencent,CN,high
ccoffee20,unknown,low
InternRobotics,CN,high
SwayStar123,unknown,low
SWE-bench,US,high
tz1002,unknown,low
TIGER-Lab,CA,high
electricsheepafrica,unknown,low
bigscience,FR,low
Rowan,US,high
Project-AgML,US,high
agents-course,US,high
stanfordnlp,US,high
wikimedia,US,high
laion,DE,high
rajpurkar,US,high
qqjz,unknown,low
AiEDA,unknown,low
Williamsanderson,unknown,low
builddotai,unknown,low
openbmb,CN,high
mamed0v,unknown,low
aline-gassenn,unknown,low
lmarena-ai,US,high
trl-internal-testing,US,high
boltzgen,US,high
abisee,US,high
CERN,CH,high
fancyzhx,US,low
Yarina,unknown,low
Kazimir-ai,unknown,low
DeliberatorArchiver,unknown,low
microsoft,US,high
labofsahil,unknown,low
AlgorithmicResearchGroup,unknown,low
open-cn-llm-leaderboard,CN,low
albertvillanova,ES,low
zekaiwang,unknown,low
rtrm,unknown,low
WebOrganizer,US,high
worldbenchmark,unknown,low
tanganke,CN,low
ZTWHHH,unknown,low
xdgdgcfbncvnvbn,unknown,low
imageomics,US,high
meta-agents-research-environments,US,high
baber,unknown,low
nebius,NL,high
Helsinki-NLP,FI,high
jamesqijingsong,unknown,low
PeakStars,unknown,low
anchovy,unknown,low
ArlingtonCL2,unknown,low
preezy02,unknown,low
jasperai,US,high
YiboZhang2001,unknown,low
primed63453,unknown,low
legacy-datasets,US,high
fixie-ai,US,high
Sabri12blm,unknown,low
japanese-asr,JP,low
HuggingFaceTB,US,high
